Title,Artist,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Driver's Seat,Sniff 'n' The Tears,0fJFBbpUxTwjhh1ScBQjeX,0.754,0.804,11,-7.189,0,0.0368,0.0186,0.0604,0.207,0.972,132.967,240747
The Entertainer - The Sting/Soundtrack Version/Orchestra Version,Marvin Hamlisch,3qq7parQQaohn9N7qKrKtE,0.615,0.386,0,-11.662,1,0.0904,0.873,0.778,0.0887,0.365,156.85,183360
"Everybody Loves Me, Baby",Don McLean,7guAeW6crMjZUuY1Xjd5li,0.583,0.759,6,-10.761,0,0.0312,0.402,0.0,0.792,0.974,138.183,216333
Everyday - Single Version,Buddy Holly,5MMU5J8jtVDZiryukBeruJ,0.735,0.257,8,-10.748,1,0.0344,0.497,0.0,0.081,0.513,135.48,128267
Fanfare For The Common Man,"Emerson, Lake & Palmer",1e0UNNtiLZuBOjpviVF3IS,0.344,0.785,0,-9.21,1,0.0497,0.0159,0.276,0.288,0.227,75.909,582693
Fat Bottomed Girls,Queen,39sH8Fl415P7O8GRP1Td6Z,0.253,0.635,2,-10.135,1,0.053,0.0443,1.43e-05,0.324,0.41,176.109,255533
Fireflies,Owl City,3DamFFqW32WihKkTVlwTYQ,0.512,0.662,3,-6.797,1,0.0439,0.0275,0.0,0.118,0.472,180.114,228347
Float On,Modest Mouse,2lwwrWVKdf3LR9lbbhnr6R,0.649,0.888,6,-4.807,1,0.0293,0.013,2.23e-06,0.0888,0.553,100.975,208467
Frankenstein,The Edgar Winter Group,4aK0vJsPXFsFdBUh8hPaDT,0.625,0.733,5,-12.127,1,0.0927,0.0595,0.88,0.164,0.524,95.211,285600
Free And Easy,Helen Reddy,0qZ1oWhtVYIKg8m5UnvKLT,0.694,0.427,2,-10.879,1,0.0446,0.614,0.01,0.078,0.878,148.591,167347
Free Ride,The Edgar Winter Group,4DhbiXEuV7JxSR0wuqetTa,0.674,0.686,2,-11.927,1,0.0597,0.29,0.00322,0.189,0.814,124.204,187173
Funkytown - Single Version,Lipps Inc.,0B5kY9i9bmP7554oU4jRoO,0.907,0.564,0,-9.29,1,0.0568,0.000928,0.65,0.108,0.229,122.632,245413
Genius of Love,Tom Tom Club,6UBQONiLH8kNmmB8UrV2Ef,0.921,0.529,2,-11.974,1,0.0851,0.0845,0.000779,0.0478,0.724,102.941,334360
